User ID,Username,Number of Posts,Followers Count,Following Count,Bio,External URL,Verified,Profile Pic,Posts_Dates,Real or Fake,,,,,,,,,,
144242466,_24simba,10,2853,2455,"ESTL📍 
Tennessee State🐯
DE
                         Matthews 10:28",,FALSE,https://scontent-atl3-1.cdninstagram.com/v/t51.2885-19/296415345_1095873267953646_4686883406091266431_n.jpg?stp=dst-jpg_s320x320&_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=106&_nc_ohc=bLNy7oNfXgEAX8pDUAA&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AT_LM9YVaqq19yJl9d6P6jw3uR3Va7RsTFVm38dfK7_GaA&oe=63522EA8&_nc_sid=8fd12b,"2022-09-05 18:44:32
2022-10-11 20:15:35
2022-09-05 18:44:32
",0,,,,,,,,,,
2268645924,selfmade.kp_,9,2549,2083,| 𝘕𝘶𝘱𝘦 ♦️|  Fisk Alum | God First🙏🏾,,FALSE,https://scontent-atl3-1.cdninstagram.com/v/t51.2885-19/299193582_148260754547554_7838334756187932303_n.jpg?stp=dst-jpg_s320x320&_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=110&_nc_ohc=zTVi8WMbraQAX_cL0cr&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AT-aQq3BDlGI1Qksxv4UBl6x0GVPTbKG2LiitxXtyR4QGA&oe=6351071F&_nc_sid=8fd12b,"2022-09-05 18:44:32
2022-10-11 20:15:35
2022-09-05 18:44:32
",0,,,,,,,,,,
6017136978,realnovak._,18,3069,388,"Baltimore da city 📍.                                    
Features/ Bookings: Theofficialnovak2@gmail.com",https://linktr.ee/RealNovak?utm_source=linktree_profile_share&ltsid=0d17f4aa-56a6-4c22-9a86-,FALSE,https://scontent-atl3-1.cdninstagram.com/v/t51.2885-19/301424705_786439469051472_3104001562748051195_n.jpg?stp=dst-jpg_s320x320&_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=100&_nc_ohc=pJBxoOreJoUAX9vqVig&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AT9WjXZi3sPtiMJopqCK89FbAYd5HaTp7LMslCJtyqD9sA&oe=63525CE5&_nc_sid=8fd12b,"2022-09-05 18:44:32
2022-10-11 20:15:35
2022-09-05 18:44:32
2022-09-26 16:48:52
",0,,,,,,,,,,
288209869,justtpatt_,27,1433,984,".. I don’t know , it’s still in the making 🖋",,FALSE,https://scontent-atl3-1.cdninstagram.com/v/t51.2885-19/293723563_417046020374210_360478092576681232_n.jpg?stp=dst-jpg_s320x320&_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=102&_nc_ohc=Mod09f6pPUUAX8nKQIo&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AT9Gthd06BwXrSQFmABvoLxVgwvPmtnL4DMu2OkDbTA87w&oe=6351E455&_nc_sid=8fd12b,"2022-09-05 18:44:32
2022-10-11 20:15:35
2022-09-05 18:44:32
2022-09-26 16:48:52
2022-10-05 21:46:15
2022-09-23 17:54:51
",0,,,,,,,,,,
6018460975,thetreboone,3,1534,1443,"📍PG County
5-ΡΨ-22
Tennessee State FB",,FALSE,https://scontent-atl3-1.cdninstagram.com/v/t51.2885-19/306542411_1218554432333338_6210486850478204321_n.jpg?stp=dst-jpg_s320x320&_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=110&_nc_ohc=WlztMnPhp_oAX8tQ4fi&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AT9HzSlFcm585EpL1tSGWWsL8HZvK5qXpwdKpkYvaH69Hw&oe=635227D6&_nc_sid=8fd12b,"2022-09-05 18:44:32
2022-10-11 20:15:35
2022-09-05 18:44:32
2022-09-26 16:48:52
2022-10-05 21:46:15
2022-09-23 17:54:51
2022-09-14 16:51:55
",0,,,,,,,,,,
503922353,eugene_3rd,110,855,2155,"TSU Grad Assistant |901〽️|💼➕🏀|The key is to keep company only with people who uplift you, whose presence calls forth your best.#LongLivetheDistrict",,FALSE,https://scontent-atl3-1.cdninstagram.com/v/t51.2885-19/125417254_374217410529952_7764579363056704354_n.jpg?stp=dst-jpg_s320x320&_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=104&_nc_ohc=_t_wOu77o5AAX_fldzP&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AT9V3kj7IckrX4kfEr_S4mQTXxfLQh17YjsiMn_EVWAv3w&oe=63517AEA&_nc_sid=8fd12b,"2022-09-05 18:44:32
2022-10-11 20:15:35
2022-09-05 18:44:32
2022-09-26 16:48:52
2022-10-05 21:46:15
2022-09-23 17:54:51
2022-09-14 16:51:55
2022-10-09 16:24:56
2022-10-02 17:51:25
2022-09-18 15:27:21
2022-09-04 21:40:57
",0,,,,,,,,,,
1530928788,dee_bwa,60,2153,4546,"LLR🕊
FEAR GOD✝️",,FALSE,https://scontent-atl3-1.cdninstagram.com/v/t51.2885-19/257723013_579463719946689_89578533732125777_n.jpg?stp=dst-jpg_s320x320&_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=109&_nc_ohc=187cV1MjlHwAX-0cYk3&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AT8YZ2oQPlpbGtMLiZWIG3SiGrlXz1O_MsjKQOE3IHesoA&oe=635158EC&_nc_sid=8fd12b,"2022-09-05 18:44:32
2022-10-11 20:15:35
2022-09-05 18:44:32
2022-09-26 16:48:52
2022-10-05 21:46:15
2022-09-23 17:54:51
2022-09-14 16:51:55
2022-10-09 16:24:56
2022-10-02 17:51:25
2022-09-18 15:27:21
2022-09-04 21:40:57
",0,,,,,,,,,,
521908977,officialdreame,5,701,254,TGO🦅 video picture graphics,,FALSE,https://scontent-atl3-1.cdninstagram.com/v/t51.2885-19/167442221_277643507146591_7443308778390963387_n.jpg?stp=dst-jpg_s320x320&_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=107&_nc_ohc=hjGkzAnHtfQAX-NZnE9&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AT92R-TcnTE6q5WdPudvzbqLdPFLj6LgV2B0s43uOZce9A&oe=6352BBD3&_nc_sid=8fd12b,"2022-09-05 18:44:32
2022-10-11 20:15:35
2022-09-05 18:44:32
2022-09-26 16:48:52
2022-10-05 21:46:15
2022-09-23 17:54:51
2022-09-14 16:51:55
2022-10-09 16:24:56
2022-10-02 17:51:25
2022-09-18 15:27:21
2022-09-04 21:40:57
2022-10-09 22:45:09
2022-10-08 21:44:19
2022-10-07 21:52:00
2022-10-07 19:34:49
",0,,,,,,,,,,
1217208885,3juiceee,2,1798,1648,•310• Wr at Western Kentukcky ⚪️🔴 | LongLiveIce 💔,http://www.hudl.com/v/2AkRQw,FALSE,https://scontent-atl3-1.cdninstagram.com/v/t51.2885-19/308564221_1404945986582837_2163400866723322075_n.jpg?stp=dst-jpg_s320x320&_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=105&_nc_ohc=7V_tUNhlz78AX8B7lus&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AT_iG7eSi0whSXbUtEzjBy4Ox2HrfBm276d4CerQgS6p3Q&oe=63521D0C&_nc_sid=8fd12b,"2022-09-05 18:44:32
2022-10-11 20:15:35
2022-09-05 18:44:32
2022-09-26 16:48:52
2022-10-05 21:46:15
2022-09-23 17:54:51
2022-09-14 16:51:55
2022-10-09 16:24:56
2022-10-02 17:51:25
2022-09-18 15:27:21
2022-09-04 21:40:57
2022-10-09 22:45:09
2022-10-08 21:44:19
2022-10-07 21:52:00
2022-10-07 19:34:49
",0,,,,,,,,,,
3239190661,karateupnoww,6,2034,1044,WR @tsutigersfb,,FALSE,https://scontent-atl3-1.cdninstagram.com/v/t51.2885-19/297008970_3148245035392687_60292607035741333_n.jpg?stp=dst-jpg_s320x320&_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=107&_nc_ohc=eEJbt4W8HjwAX_I0Pon&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AT8TvdJ-tLDS_hiTkQE__Fwism17fnFklr25gLzg1bC5Hg&oe=6350F383&_nc_sid=8fd12b,"2022-09-05 18:44:32
2022-10-11 20:15:35
2022-09-05 18:44:32
2022-09-26 16:48:52
2022-10-05 21:46:15
2022-09-23 17:54:51
2022-09-14 16:51:55
2022-10-09 16:24:56
2022-10-02 17:51:25
2022-09-18 15:27:21
2022-09-04 21:40:57
2022-10-09 22:45:09
2022-10-08 21:44:19
2022-10-07 21:52:00
2022-10-07 19:34:49
2022-10-06 20:38:53
",0,,,,,,,,,,
